,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
46672,53,17,290,1,1,52,68,52,52,52.0,0.0,68,68,68.0,0.0,413793.1034,6896.551724,290.0,0.0,290,290,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,3448.275862,3448.275862,52,68,57.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,86.0,52.0,68.0,1,52,1,68,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
223944,3389,6,4000516,14,8,1460,1731,741,0,104.2857142857,195.0906805216,1179,0,216.375,405.4647906151,797.6471035236,5.4992905915,190500.761904762,261108.095077289,953105,84,4000516,307732.0,346550.013947001,1221241,9769,3893747,556249.571428571,336009.348942782,1031216,170836,0,0,292,172,3.4995485582,1.9997420333,0,1179,138.7391304348,280.3960214656,78621.9288537549,0,0,1,1,0,0,0,1,0,145.0454545455,104.2857142857,216.375,14,1460,8,1731,8192,62625,7,20,0.0,0.0,0,0,0.0,0.0,0,0
71660,52253,6,91,3,1,31,0,31,0,10.333333333333332,17.8978583448784,0,0,0.0,0.0,340659.34065934067,43956.04395604396,30.33333333333333,13.576941236277534,43,16,91,45.5,3.5355339059327378,48,43,0,0.0,0.0,0,0,0,0,60,20,32967.03296703297,10989.010989010989,0,31,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,0,7.75,10.333333333333334,0.0,3,31,1,0,64,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0
271427,443,6,57409,9,9,515,7568,197,0,57.22222222222224,84.10228560773152,1460,0,840.8888888888889,724.9731795805353,140796.73918723545,313.5396888989531,3377.0,4784.633214782509,14292,1,57409,7176.125,5753.500287092322,14292,18,41647,5205.875,9154.99364808237,25763,1,0,0,192,192,156.76984444947655,156.76984444947655,0,1460,425.42105263157896,633.1540374093174,400884.03508771927,0,0,1,1,0,0,0,1,1,449.05555555555554,57.22222222222222,840.8888888888889,9,515,9,7568,8192,62,4,20,0.0,0.0,0,0,0.0,0.0,0,0
144726,3389,6,2079073,8,7,1144,1581,677,0,143.0,227.9699228,1173,0,225.8571429,430.0986044,1310.680289,7.214753883,148505.2143,242726.1026,937547,3,2079073,297010.4286,396761.9827,1183936,3,1896378,316063.0,305573.987,937547,174454,0,0,172,152,3.847868738,3.366885145,0,1173,170.3125,319.4027173,102018.0958,0,0,1,1,0,0,0,1,0,181.6666667,143.0,225.8571429,8,1144,7,1581,8192,62856,5,20,0.0,0.0,0,0,0.0,0.0,0,0
150833,443,6,5510117,9,7,351,5531,194,0,38.99999999999999,71.40028011149535,1460,0,790.1428571428572,674.2636548046144,1067.4909443846657,2.9037495937019124,367341.13333333336,1368558.7073731914,5313777,4,5510117,688764.6250000001,1869133.929613464,5313777,12,90691,15115.166666666668,21564.466136834148,45160,30,0,0,192,152,1.6333591464573256,1.2703904472445866,0,1460,346.0,565.5401179403633,319835.625,0,0,1,1,0,0,0,1,0,367.625,39.0,790.1428571428571,9,351,7,5531,8192,946,3,20,196328.0,0.0,196328,196328,5313777.0,0.0,5313777,5313777
60486,53,17,93084,2,2,66,168,33,33,33.0,0.0,84,84,84.0,0.0,2513.858450431868,42.97193932362168,31028.0,34240.704899286175,67764,0,25320,25320.0,0.0,25320,25320,0,0.0,0.0,0,0,0,0,16,16,21.48596966181084,21.48596966181084,33,84,53.4,27.93385043276347,780.3,0,0,0,0,0,0,0,0,1,66.75,33.0,84.0,2,66,2,168,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0
148207,53,17,308,1,1,41,73,41,41,41.0,0.0,73,73,73.0,0.0,370129.8701298701,6493.506493506494,308.0,0.0,308,308,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,3246.753246753247,3246.753246753247,41,73,51.66666666666666,18.475208614068023,341.3333333333333,0,0,0,0,0,0,0,0,1,77.5,41.0,73.0,1,41,1,73,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
45786,53024,6,23471,5,2,935,275,935,0,187.0,418.1447118,275,0,137.5,194.4543648,51552.98027,298.2403817,3911.833333,9181.263473,22649,6,23471,5867.75,11390.86439,22951,6,22649,22649.0,0.0,22649,22649,0,0,124,40,213.0288441,85.21153764,0,935,151.25,330.9806857,109548.2143,0,0,1,1,0,0,0,1,0,172.8571429,187.0,137.5,5,935,2,275,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0
106600,443,6,5673085,5,4,568,137,517,0,113.6,226.5861866928344,137,0,34.25,68.5,124.27100951246102,1.586438419308013,709135.625,1969622.411565435,5583478,16,5673085,1418271.25,2813910.1512357467,5639120,207,73021,24340.333333333336,28691.05056168793,56039,150,0,0,112,92,0.8813546773933406,0.7050837419146725,0,517,70.5,162.9439235510862,26550.722222222223,0,0,1,1,0,0,0,1,0,78.33333333333333,113.6,34.25,5,568,4,137,8192,237,2,20,89607.0,0.0,89607,89607,5583478.0,0.0,5583478,5583478
178271,3389,6,1664554,8,7,1128,1581,661,0,141.00000000000003,222.62332055996032,1173,0,225.8571428571429,430.0986044197418,1627.4629720633875,9.011422879642234,118896.71428571428,245182.73566823223,951648,36,1664554,237793.42857142852,388596.54313175817,1113935,36,1559908,259984.66666666663,339543.18439554435,951648,105726,0,0,172,152,4.806092202475858,4.205330677166375,0,1173,169.3125,317.73127403515065,100953.1625,0,0,1,1,0,0,0,1,0,180.6,141.0,225.8571428571429,8,1128,7,1581,8192,62872,5,20,0.0,0.0,0,0,0.0,0.0,0,0
47378,53,17,1299,1,1,43,102,43,43,43.0,0.0,102,102,102.0,0.0,111624.32640492686,1539.6458814472671,1299.0,0.0,1299,1299,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,769.8229407236336,769.8229407236336,43,102,62.66666666666667,34.06366588218792,1160.3333333333337,0,0,0,0,0,0,0,0,1,94.0,43.0,102.0,1,43,1,102,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
104222,3389,6,13196654,11,7,1144,1581,677,0,104.0,202.0910685805,1173,0,225.8571428571,430.0986044197,206.4917364659,1.3639821124,776273.764705882,1972341.63043673,8223805,83,13196654,1319665.4,2481108.21499991,8223805,1920,13082816,2180469.33333333,3127377.73969757,8439428,186168,0,0,232,152,0.8335446243,0.5304374882,0,1173,143.4210526316,298.4730242398,89086.1461988304,0,0,1,1,0,0,0,1,0,151.3888888889,104.0,225.8571428571,11,1144,7,1581,8192,62856,5,20,2232141.0,0.0,2232141,2232141,8223805.0,0.0,8223805,8223805
111909,443,6,117100521,12,13,598,7681,198,0,49.8333333333,70.7477379444,1460,0,590.8461538462,712.6176915843,70.6999416339,0.2134917914,4879188.375,16492025.1073272,58632557,0,117100521,10645501.9090909,23636703.2182063,58687772,100,117038562,9753213.5,22751877.3834997,58643699,0,0,0,252,272,0.1024760599,0.1110157315,0,1460,318.4230769231,568.5353233056,323232.413846154,0,0,0,1,0,0,0,0,1,331.16,49.8333333333,590.8461538462,12,598,13,7681,8192,62,6,20,94159.0,45223.7212975668,126137,62181,58424987.0,293548.309141783,58632557,58217417
213591,53,17,1029,1,1,39,98,39,39,39.0,0.0,98,98,98.0,0.0,133138.969873664,1943.6345966958,1029.0,0.0,1029,1029,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,971.8172983479,971.8172983479,39,98,58.6666666667,34.0636658822,1160.3333333333,0,0,0,0,0,0,0,0,1,88.0,39.0,98.0,1,39,1,98,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
5338,443,6,172226,10,8,509,5568,194,0,50.9,80.15186973628389,1460,0,696.0,689.9397489222208,35285.03245735255,104.51383647068388,10130.941176470587,22235.833103547604,90782,5,172226,19136.222222222223,28571.060729249177,90782,13,131958,18851.14285714286,40467.349742018654,109478,18,0,0,212,172,58.06324248371326,46.45059398697061,0,1460,319.8421052631579,545.0531333078042,297082.91812865494,0,0,1,1,0,0,0,1,0,337.6111111111111,50.9,696.0,10,509,8,5568,8192,30,4,20,0.0,0.0,0,0,0.0,0.0,0,0
123519,3389,6,1655132,9,7,1148,1581,677,0,127.55555555555556,218.69105555046772,1173,0,225.8571428571429,430.0986044197418,1648.8110918041582,9.666902700207595,110342.13333333332,244553.1252465159,961022,79,1655132,206891.5,352246.9204561725,1057350,79,1598377,266396.1666666666,356634.40585137974,961022,58492,0,0,192,152,5.437632768866773,4.229269931340824,0,1173,160.5294117647059,312.04409096453395,97371.51470588232,0,0,0,1,0,0,0,0,0,170.5625,127.55555555555556,225.8571428571429,9,1148,7,1581,8192,62852,5,20,0.0,0.0,0,0,0.0,0.0,0,0
74358,443,6,90350839,15,16,1128,3973,581,0,75.2,170.82079164183398,1460,0,248.3125,525.1063027299011,56.45769376862123,0.3431069411541381,3011694.6333333333,4640115.932281667,10000866,2,80387863,5741990.214285715,5118483.774849963,10031593,1330,90320059,6021337.266666667,5073625.462393005,10057422,2,0,0,312,328,0.1660194876552281,0.1770874534989099,0,1460,159.40624999999997,393.6104885973836,154929.216733871,0,0,0,1,0,0,0,0,1,164.5483870967742,75.2,248.3125,15,1128,16,3973,8192,0,11,20,58708.11111111112,83746.5003185871,282032,30690,9980274.000000002,42393.04028670284,10000866,9884879
1757,49866,6,21,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,95238.09523809524,21.0,0.0,21,21,21,21.0,0.0,21,21,0,0.0,0.0,0,0,0,0,40,0,95238.09523809524,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2,0,0,0,180,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
13768,80,6,5180551,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.7721186414,1726850.33333333,2981112.2541334,5169136,23,5180551,2590275.5,3647059.49456826,5169136,11415,0,0.0,0.0,0,0,0,0,72,32,0.5790889811,0.1930296604,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,3,0,1,0,8192,42780,0,20,0.0,0.0,0,0,0.0,0.0,0,0
